 Populating box and setting intial velocities
 Beginning Simulation:           50 steps, with           10 particles.
   4.10232973       4.57349253      -4.10229158       7.94803143    
   1.44944525       2.33775043       6.07194853      -6.56745338    
   4.74519825       3.14485025       4.64580107      -7.64307117    
   4.89761734       2.24074221       4.73778105       7.58639812    
   1.08390236       4.60694838     -0.597853720       8.92426872    
   3.75184488       4.08939505      -8.32207584      -3.27766013    
  0.721537590       1.95182025      -5.84882736       6.76692104    
   1.10269833       4.17804003      -6.81730604      -5.79002094    
   2.81610274       4.69344234       2.93581605       8.44872665    
   3.81673002       2.11685276      -3.26768756      -8.32599640    
 Step           37 complete
   3.69210052       4.63170433      -4.10229158      -7.94803143    
   2.05664015       1.68100512       6.07194853      -6.56745338    
   4.79022169       2.38054323      -4.64580107      -7.64307117    
   4.62860441       2.99938202      -4.73778105       7.58639812    
   1.02411699       4.50062466     -0.597853720      -8.92426872    
   2.91963720       3.76162910      -8.32207584      -3.27766013    
  0.136654839       2.62851238      -5.84882736       6.76692104    
  0.420967698       3.59903789      -6.81730604      -5.79002094    
   3.10968447       4.46168518       2.93581605      -8.44872665    
   3.48996115       1.28425312      -3.26768756      -8.32599640    
 Step           38 complete
   3.28187132       3.83690119      -4.10229158      -7.94803143    
   2.66383505       1.02425981       6.07194853      -6.56745338    
   4.32564163       1.61623609      -4.64580107      -7.64307117    
   4.15482616       3.75802183      -4.73778105       7.58639812    
  0.964331627       3.60819769     -0.597853720      -8.92426872    
   2.08742952       3.43386316      -8.32207584      -3.27766013    
  0.721537590       3.30520439       5.84882736       6.76692104    
   1.10269833       3.02003574       6.81730604      -5.79002094    
   3.40326619       3.61681247       2.93581605      -8.44872665    
   3.16319227      0.451653481      -3.26768756      -8.32599640    
 Step           39 complete
   2.87164211       3.04209805      -4.10229158      -7.94803143    
   3.27102995      0.367514461       6.07194853      -6.56745338    
   3.86106157      0.851928949      -4.64580107      -7.64307117    
   3.68104815       4.51666164      -4.73778105       7.58639812    
  0.904546261       2.71577072     -0.597853720      -8.92426872    
   1.25522196       3.10609722      -8.32207584      -3.27766013    
   1.30642033       3.98189640       5.84882736       6.76692104    
   1.78442895       2.44103360       6.81730604      -5.79002094    
   3.69684792       2.77193975       2.93581605      -8.44872665    
   2.83642340       1.28425312      -3.26768756       8.32599640    
 Step           40 complete
   2.46141291       2.24729490      -4.10229158      -7.94803143    
   3.87822485       1.02425981       6.07194853       6.56745338    
   3.39648151       8.76218230E-02  -4.64580107      -7.64307117    
   3.20727015       4.72469854      -4.73778105      -7.58639812    
  0.844760895       1.82334387     -0.597853720      -8.92426872    
  0.423014373       2.77833128      -8.32207584      -3.27766013    
   1.89130306       4.65858841       5.84882736       6.76692104    
   2.46615958       1.86203146       6.81730604      -5.79002094    
   3.99042964       1.92706704       2.93581605      -8.44872665    
   2.50965452       2.11685276      -3.26768756       8.32599640    
 Step           41 complete
   2.05118370       1.45249176      -4.10229158      -7.94803143    
   4.48541975       1.68100512       6.07194853       6.56745338    
   2.93190145      0.851928949      -4.64580107       7.64307117    
   2.73349214       3.96605873      -4.73778105      -7.58639812    
  0.784975529      0.930916965     -0.597853720      -8.92426872    
   1.25522196       2.45056534       8.32207584      -3.27766013    
   2.47618580       4.66471958       5.84882736      -6.76692104    
   3.14789009       1.28302932       6.81730604      -5.79002094    
